taxon lfc_(Intercept) lfc_mediaCVP lfc_mediaKBC lfc_mediaTSA lfc_siteMD lfc_siteLD se_(Intercept) se_mediaCVP se_mediaKBC se_mediaTSA se_siteMD se_siteLD W_(Intercept) W_mediaCVP W_mediaKBC W_mediaTSA W_siteMD W_siteLD p_(Intercept) p_mediaCVP p_mediaKBC p_mediaTSA p_siteMD p_siteLD q_(Intercept) q_mediaCVP q_mediaKBC q_mediaTSA q_siteMD q_siteLD diff_(Intercept) diff_mediaCVP diff_mediaKBC diff_mediaTSA diff_siteMD diff_siteLD
Kingdom:Bacteria 3.72714536340508 -4.4275202812329 -4.77008445676202 -2.57239525069173 -0.719123546977984 -0.346954316449574 0.659037936467415 0.810541068818339 0.781916203518956 0.839830943642751 0.650882737247431 0.654703919733675 5.65543371203088 -5.46242559638296 -6.1005059561301 -3.06299174871315 -1.10484347767332 -0.529940796124622 1.55453218848633e-08 4.69672406781378e-08 1.05733242070086e-09 0.00219136102124834 0.269227417549079 0.596152979578884 2.64270472042677e-07 8.4541033220648e-07 1.79746511519146e-08 0.00876544408499335 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Phylum:Proteobacteria 1.81024481973039 -1.72828196809886 -1.7858517705767 -2.60529964247279 0.522186435303187 -0.0754876233603941 0.476252538947414 0.602059304663205 0.57197940614084 0.632744314668001 0.467642973996409 0.47167829545356 3.80101872786084 -2.87061748686979 -3.12223089048938 -4.11746037392654 1.11663483541869 -0.160040485407127 0.000144102408874943 0.00409670927406205 0.00179486113352429 3.83070368645184e-05 0.264150490671559 0.87284918247849 0.0010087168621246 0.0358101927271477 0.0152532319089038 0.00049799147923874 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Fusobacteriia 2.22511503610167 -1.69210278888277 -1.74967259136061 -2.5691204632567 -0.370867561067531 -0.508447429339718 0.463539694196127 0.587570596367753 0.557384243457589 0.618355068775713 0.454895530412883 0.458947201932018 4.80026859395608 -2.87982890795254 -3.13907795546384 -4.15476575350684 -0.815280732107689 -1.10785603921174 1.58452971313786e-06 0.00397891030301641 0.00169480354543375 3.25620960347901e-05 0.414911635258233 0.267923993658262 1.74298268445165e-05 0.0358101927271477 0.0152532319089038 0.000455869344487061 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Phylum:OD1 0.935902857100716 -0.590191650527778 -0.647761453005618 -1.46720932490171 0.279212304813149 0.229809180483743 0.391723678555847 0.505602187266709 0.474884982676653 0.536875342006742 0.382902835497116 0.387038135422135 2.38919143348973 -1.16730438552563 -1.36403861279116 -2.73286778159256 0.729198843488984 0.593763661643045 0.0168855014101352 0.243087468241481 0.172555413376148 0.00627855308301206 0.465880038558555 0.55267019678275 0.0337710028202703 0.529506681793638 0.345110826752295 0.0188356592490362 1 1 TRUE FALSE FALSE TRUE FALSE FALSE
Class:ZB2 1.46631256950764 -1.18378434519053 -1.24135414766837 -2.06080201956447 0.257180095659128 -0.00380418459180155 0.454089967771195 0.576799142558407 0.54653472749282 0.607656273895833 0.44542028030041 0.44948401826419 3.22912346358306 -2.05233374644045 -2.27131796978936 -3.39139429327729 0.577387485557853 -0.0084634479474765 0.00124170275706615 0.0401372385163001 0.0231277361775493 0.000695379815831268 0.563677726182993 0.993247226168456 0.00745021654239692 0.1605489540652 0.0925109447101971 0.00453439406516607 1 1 TRUE FALSE FALSE TRUE FALSE FALSE
Phylum:Cyanobacteria 4.7988308819413 -5.46181286952653 -5.51938267200437 -6.33883054390046 -0.152766936346739 0.0341520898690634 0.349876629184574 0.457537371069455 0.426679637943369 0.488936979436559 0.34100727207855 0.345165593452582 13.7157800254493 -11.9374136734667 -12.935659874955 -12.9645144681124 -0.447987327119374 0.098944073560319 8.16831765457538e-43 7.55355439959143e-33 2.8318118721596e-38 1.94457787149957e-38 0.65416234267263 0.921182674931505 2.45049529637261e-41 2.26606631987743e-31 8.4954356164788e-37 5.8337336144987e-37 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:Nostocophycideae 4.07101416193992 -4.89501863812369 -4.95258844060153 -5.77203631249763 0.362838782970768 0.426709509899335 0.362863113386553 0.472500366874437 0.441660408214247 0.503884122002094 0.353999981093692 0.358155345657966 11.2191457653154 -10.359819761631 -11.2135666871889 -11.455086716294 1.0249683682179 1.19140902145528 3.28427496842094e-29 3.77673031959239e-25 3.49807438257882e-29 2.2174122840645e-30 0.305378113219607 0.233493053061999 9.19596991157862e-28 9.8194988309402e-24 9.09499339470494e-28 6.2087543953806e-29 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:[Pedosphaerae] 2.27283170029692 -2.10945635254047 -2.16702615501831 -2.9864740269144 0.0232035337849357 -0.106622998548103 0.427875432098113 0.546903529830721 0.516431186195588 0.577952958749141 0.419137060328648 0.423233291905483 5.31190044997899 -3.85709039616803 -4.19615664766921 -5.16733063081467 0.0553602531991364 -0.25192488537011 1.0848786580022e-07 0.00011474473612374 2.71482514225608e-05 2.37460982330629e-07 0.955851460603417 0.801099124062477 1.73580585280353e-06 0.00149168156960862 0.000352927268493291 4.27429768195131e-06 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Phylum:Verrucomicrobia 2.06749638275585 -2.00544597929932 -2.06301578177716 -2.88246365367326 0.0768509466215153 0.221712201445939 0.394787879278017 0.509108151561753 0.478408722229229 0.540365185809025 0.385973095105395 0.390105522442381 5.23698039194331 -3.9391354727819 -4.31224533734289 -5.33428823575612 0.199109594933113 0.568339048516511 1.6322502594059e-07 8.17757474546534e-05 1.6160496861995e-05 9.59200551599382e-08 0.842177015831002 0.569804769075487 2.44837538910884e-06 0.00130841195927445 0.000242407452929925 1.82248104803883e-06 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
Class:[Spartobacteria] 2.41231512182356 -1.84186285746028 -1.89943265993812 -2.71888053183421 -0.683012218567196 -0.420942874706321 0.49059703478574 0.618406056363518 0.588447355094085 0.648977327489823 0.48202658661593 0.486043431784423 4.91710090110329 -2.97840365324232 -3.22787186227462 -4.18948461936345 -1.41695963984536 -0.866060206103194 8.7835284435946e-07 0.00289754110184637 0.00124714825793917 2.79588730809467e-05 0.156494727900701 0.386457146250134 1.05402341323135e-05 0.0289754110184637 0.0133708488234501 0.000447341969295147 1 1 TRUE TRUE TRUE TRUE FALSE FALSE
