1 2 p p.adj
LD_CVP LD_ENV 0.1 0.101538461538462
LD_CVP LD_KBC 0.1 0.101538461538462
LD_CVP LD_TSA 0.1 0.101538461538462
LD_CVP MD_CVP 0.1 0.101538461538462
LD_CVP MD_ENV 0.1 0.101538461538462
LD_CVP MD_KBC 0.1 0.101538461538462
LD_CVP MD_TSA 0.1 0.101538461538462
LD_CVP UD_CVP 0.1 0.101538461538462
LD_CVP UD_ENV 0.1 0.101538461538462
LD_CVP UD_KBC 0.1 0.101538461538462
LD_CVP UD_TSA 0.1 0.101538461538462
LD_ENV LD_KBC 0.1 0.101538461538462
LD_ENV LD_TSA 0.1 0.101538461538462
LD_ENV MD_CVP 0.1 0.101538461538462
LD_ENV MD_ENV 0.1 0.101538461538462
LD_ENV MD_KBC 0.1 0.101538461538462
LD_ENV MD_TSA 0.1 0.101538461538462
LD_ENV UD_CVP 0.1 0.101538461538462
LD_ENV UD_ENV 0.1 0.101538461538462
LD_ENV UD_KBC 0.1 0.101538461538462
LD_ENV UD_TSA 0.1 0.101538461538462
LD_KBC LD_TSA 0.1 0.101538461538462
LD_KBC MD_CVP 0.1 0.101538461538462
LD_KBC MD_ENV 0.1 0.101538461538462
LD_KBC MD_KBC 0.1 0.101538461538462
LD_KBC MD_TSA 0.1 0.101538461538462
LD_KBC UD_CVP 0.1 0.101538461538462
LD_KBC UD_ENV 0.1 0.101538461538462
LD_KBC UD_KBC 0.1 0.101538461538462
LD_KBC UD_TSA 0.1 0.101538461538462
LD_TSA MD_CVP 0.1 0.101538461538462
LD_TSA MD_ENV 0.1 0.101538461538462
LD_TSA MD_KBC 0.1 0.101538461538462
LD_TSA MD_TSA 0.1 0.101538461538462
LD_TSA UD_CVP 0.1 0.101538461538462
LD_TSA UD_ENV 0.1 0.101538461538462
LD_TSA UD_KBC 0.1 0.101538461538462
LD_TSA UD_TSA 0.4 0.4
MD_CVP MD_ENV 0.1 0.101538461538462
MD_CVP MD_KBC 0.1 0.101538461538462
MD_CVP MD_TSA 0.1 0.101538461538462
MD_CVP UD_CVP 0.1 0.101538461538462
MD_CVP UD_ENV 0.1 0.101538461538462
MD_CVP UD_KBC 0.1 0.101538461538462
MD_CVP UD_TSA 0.1 0.101538461538462
MD_ENV MD_KBC 0.1 0.101538461538462
MD_ENV MD_TSA 0.1 0.101538461538462
MD_ENV UD_CVP 0.1 0.101538461538462
MD_ENV UD_ENV 0.1 0.101538461538462
MD_ENV UD_KBC 0.1 0.101538461538462
MD_ENV UD_TSA 0.1 0.101538461538462
MD_KBC MD_TSA 0.1 0.101538461538462
MD_KBC UD_CVP 0.1 0.101538461538462
MD_KBC UD_ENV 0.1 0.101538461538462
MD_KBC UD_KBC 0.1 0.101538461538462
MD_KBC UD_TSA 0.1 0.101538461538462
MD_TSA UD_CVP 0.1 0.101538461538462
MD_TSA UD_ENV 0.1 0.101538461538462
MD_TSA UD_KBC 0.1 0.101538461538462
MD_TSA UD_TSA 0.1 0.101538461538462
UD_CVP UD_ENV 0.1 0.101538461538462
UD_CVP UD_KBC 0.1 0.101538461538462
UD_CVP UD_TSA 0.1 0.101538461538462
UD_ENV UD_KBC 0.1 0.101538461538462
UD_ENV UD_TSA 0.1 0.101538461538462
UD_KBC UD_TSA 0.1 0.101538461538462
