# Constructed from biom file
#OTU ID	K10	K11	K12	K1	K2	K3	K4	K5	K6	K7	K8	K9	W10	W11	W12	W1	W2	W3	W4	W5	W6	W7	W8	W9	taxonomy
357276	9014946.0	262615.0	1052719.0	4256076.0	8170654.0	23356.0	8581.0	293411.0	591215.0	268538.0	194288.0	1546598.0	422211.0	311226.0	2062754.0	124067.0	263157.0	3111503.0	360460.0	134641.0	2895184.0	522277.0	23411.0	10819.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__dorei
47678	1746752.0	55511.0	664946.0	22132.0	1238872.0	14247.0	3295.0	160554.0	59112.0	184542.0	755078.0	45071.0	786247.0	1559600.0	18787.0	304110.0	167356.0	31410.0	127876.0	56480.0	34058.0	263080.0	8144.0	4585.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae
821	965541.0	3369808.0	761295.0	1615507.0	933413.0	366003.0	159302.0	1235848.0	741580.0	4421770.0	3090368.0	1733575.0	5032356.0	4593461.0	224759.0	209555.0	963271.0	782969.0	781558.0	301545.0	1381186.0	228819.0	347456.0	297176.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__vulgatus
28116	552245.0	99861.0	740180.0	3051871.0	284160.0	46109.0	23421.0	264236.0	288278.0	221382.0	111927.0	1719914.0	1537880.0	875242.0	1344817.0	1212096.0	882730.0	2425764.0	235798.0	173090.0	1570516.0	108573.0	168509.0	106624.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
1796613	366278.0	110372.0	115215.0	127222.0	214189.0	21347.0	11343.0	52646.0	37822.0	50199.0	43078.0	105819.0	234645.0	164861.0	194078.0	100944.0	82786.0	379231.0	140797.0	79482.0	438465.0	25061.0	62219.0	48245.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caecimuris
817	109800.0	158622.0	122428.0	475138.0	129388.0	10659.0	6326.0	42962.0	29993.0	190709.0	205862.0	317886.0	566425.0	351725.0	75682.0	102845.0	82287.0	125114.0	119722.0	61613.0	432077.0	61410.0	49048.0	24472.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
818	96747.0	699588.0	889945.0	384726.0	101237.0	94534.0	66305.0	349715.0	261570.0	154215.0	73426.0	181195.0	472690.0	843246.0	870379.0	590759.0	214052.0	884251.0	340874.0	126064.0	554536.0	66872.0	662123.0	247985.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__thetaiotaomicron
290053	59162.0	54882.0	32746.0	34285.0	76798.0	2554.0	1417.0	17115.0	9641.0	39031.0	17087.0	35774.0	69564.0	45971.0	28735.0	24723.0	47128.0	32232.0	21136.0	9335.0	70745.0	12318.0	11113.0	5157.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__helcogenes
376805	56918.0	27404.0	13178.0	8675.0	40573.0	4473.0	3406.0	11535.0	7381.0	37342.0	26842.0	8001.0	74109.0	34117.0	19601.0	66815.0	27837.0	33061.0	70920.0	24949.0	10824.0	84719.0	23770.0	17735.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__salanitronis
246787	45778.0	1070595.0	150575.0	533116.0	59354.0	48092.0	22976.0	19777.0	10621.0	485328.0	431587.0	781948.0	81403.0	63148.0	288700.0	407515.0	502357.0	298442.0	164765.0	149886.0	686733.0	352122.0	99470.0	19482.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__cellulosilyticus
