Postcode,Area,District,Total,Males,Females,Occupied_Households
L1  0AF,L1,0AF,79,38,41,45
L1  1DA,L1,1DA,2,1,1,1
L1  1HW,L1,1HW,6,3,3,4
L1  1JJ,L1,1JJ,3,2,1,3
L1  1JN,L1,1JN,16,10,6,6
L1  1JP,L1,1JP,3,1,2,2
L1  1JQ,L1,1JQ,20,12,8,11
L1  1JW,L1,1JW,10,5,5,8
L1  1LE,L1,1LE,10,8,2,5
L1  1RD,L1,1RD,174,79,95,0
L1  1RJ,L1,1RJ,1,1,0,1
L1  2SA,L1,2SA,8,7,1,5
L1  2SJ,L1,2SJ,18,12,6,12
L1  2SR,L1,2SR,2,1,1,2
L1  2SS,L1,2SS,124,81,43,76
L1  2ST,L1,2ST,40,24,16,30
L1  2SU,L1,2SU,164,89,75,86
L1  2SX,L1,2SX,13,7,6,9
L1  2TE,L1,2TE,19,12,7,13
L1  2TQ,L1,2TQ,13,7,6,10
L1  2TR,L1,2TR,9,5,4,4
L1  3BH,L1,3BH,103,65,38,72
L1  3BL,L1,3BL,6,5,1,3
L1  3BN,L1,3BN,53,31,22,31
L1  3DD,L1,3DD,2,1,1,1
L1  3DT,L1,3DT,41,26,15,26
L1  3DY,L1,3DY,3,2,1,1
L1  3EB,L1,3EB,45,32,13,28
L1  3ED,L1,3ED,19,16,3,4
L1  3EU,L1,3EU,11,8,3,5
L1  4AA,L1,4AA,6,5,1,6
L1  4AG,L1,4AG,1,0,1,1
L1  4AL,L1,4AL,18,12,6,14
L1  4AN,L1,4AN,38,24,14,25
L1  4AQ,L1,4AQ,14,9,5,9
L1  4AR,L1,4AR,73,42,31,45
L1  4AZ,L1,4AZ,22,14,8,5
L1  4BE,L1,4BE,22,18,4,17
L1  4BL,L1,4BL,23,14,9,5
L1  4BN,L1,4BN,52,28,24,34
L1  4BW,L1,4BW,5,3,2,2
L1  4DA,L1,4DA,2,2,0,2
L1  4DE,L1,4DE,80,36,44,32
