,Eptesicus serotinus,Myotis bechsteinii,Myotis brandtii,Myotis daubentonii,Myotis mystacinus,Myotis nattereri,Nyctalus leisleri,Nyctalus noctula,Pipistrellus nathusii,Pipistrellus pipistrellus,Pipistrellus pygmaeus,Plecotus auritus,Plecotus austriacus,Rhinolophus ferrumequinum,Rhinolophus hipposideros
Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Midlands,0,0,0,751,92,1534,0,131,0,7914,20633,1531,0,0,0
East of England,252,0,0,0,0,497,47,174,0,5760,16032,635,0,0,0
Isle of Man,0,0,0,0,0,0,97,0,0,127,0,19,0,0,0
London,29,0,0,0,0,0,0,0,4,118,3299,27,0,0,0
North East,0,0,0,0,0,220,0,0,0,2874,1560,155,0,0,0
North West,0,0,464,0,0,288,0,128,0,5331,15595,773,0,0,0
Northern Ireland,0,0,0,0,0,20,393,0,0,1774,7828,111,0,0,0
Scotland,0,0,0,55,37,549,0,0,0,11024,44532,1794,0,0,0
South East,1914,86,0,369,209,1057,0,232,0,12783,18531,1225,6,0,21
South West,1922,0,0,225,99,1377,130,167,0,9568,15205,1210,41,9613,17306
Wales,70,0,4,0,20,212,0,0,0,4887,25642,653,0,2319,36216
West Midlands,0,0,0,156,0,186,0,0,0,6471,13428,596,0,12,4087
Yorkshire and The Humber,0,0,0,439,124,660,0,0,0,5850,4505,140,0,0,0
