Year	Minnesota	Montana	New Mexico	Pennsylvania
2015-Q1	28000	8500	7000	14000
2015-Q2	71000	36000	6500	15500
2015-Q3	133000	140000	6500	25000
2015-Q4	104000	116000	6000	22000
2016-Q1	36000	16500	6000	12500
2016-Q2	27000	62000	6500	11000
2016-Q3	132000	147000	6500	19000
2016-Q4	113000	124000	7000	21000
2017-Q1	27000	18500	5500	17000
2017-Q2	32000	47000	7000	15500
2017-Q3	136000	154000	8500	18500
2017-Q4	98000	115000	8000	24000
2018-Q1	39000	35000	7500	14500
2018-Q2	69000	50000	1900	15500
2018-Q3	121000	145000	6000	20000
2018-Q4	84000	98000	8000	21000
