gender	parental level of education	lunch	test preparation course	math score	reading score	writing score
male	associate's degree	free/reduced	none	47	57	44
male	some college	standard	completed	78	72	70
female	master's degree	standard	none	50	53	58
male	master's degree	free/reduced	none	73	74	72
female	associate's degree	standard	completed	55	65	62
male	some high school	free/reduced	none	39	39	34
male	associate's degree	free/reduced	none	62	61	55
female	associate's degree	free/reduced	none	41	51	48
male	bachelor's degree	standard	completed	80	78	81
male	some college	free/reduced	completed	50	47	54
female	some college	standard	none	58	70	67
male	associate's degree	standard	none	54	53	47
female	bachelor's degree	standard	none	51	49	51
male	high school	standard	none	57	43	47
male	some high school	standard	completed	62	67	69
male	bachelor's degree	standard	none	77	67	68
male	high school	standard	completed	72	73	74
male	some high school	free/reduced	none	68	72	64
male	some high school	standard	completed	47	49	49
male	some high school	standard	completed	46	41	43
male	some college	free/reduced	completed	81	78	81
male	some college	standard	none	69	67	69
male	some college	free/reduced	none	28	23	19
male	associate's degree	standard	none	63	61	61
male	bachelor's degree	free/reduced	completed	49	58	60
female	some high school	free/reduced	none	44	64	58
female	some high school	standard	none	71	83	77
male	bachelor's degree	standard	none	66	64	62
female	some high school	free/reduced	none	38	43	43
male	high school	free/reduced	none	48	45	41
male	some college	standard	none	53	43	43
female	some college	free/reduced	none	49	65	55
female	some high school	standard	completed	59	85	80
male	some high school	free/reduced	none	65	59	53
female	some high school	free/reduced	none	47	59	50
female	some high school	free/reduced	none	59	73	69
male	some high school	free/reduced	none	79	82	73
male	bachelor's degree	standard	completed	75	58	62
male	high school	free/reduced	completed	72	67	65
female	high school	free/reduced	completed	77	88	85
male	high school	standard	none	59	52	46
male	associate's degree	free/reduced	completed	79	82	82
female	associate's degree	free/reduced	none	65	85	76
male	high school	standard	none	68	70	66
male	some high school	standard	none	64	50	43
male	associate's degree	standard	completed	97	92	86
female	some high school	standard	completed	92	100	97
male	bachelor's degree	standard	none	91	96	92
male	associate's degree	free/reduced	completed	40	55	53
male	some college	standard	completed	61	51	52
female	high school	standard	none	55	73	73
female	some high school	standard	none	48	66	65
male	some high school	standard	none	71	62	50
male	some high school	standard	none	53	54	48
female	associate's degree	standard	none	82	93	93
male	some college	standard	completed	100	96	86
male	high school	standard	none	71	74	64
female	high school	standard	completed	68	80	76
female	associate's degree	standard	completed	65	70	74
male	high school	free/reduced	none	53	58	44
female	bachelor's degree	standard	none	59	72	70
male	bachelor's degree	standard	completed	87	84	87
male	bachelor's degree	free/reduced	none	62	72	65
male	some high school	free/reduced	none	55	46	43
female	associate's degree	free/reduced	none	37	57	56
male	some college	free/reduced	none	58	60	57
female	some college	standard	completed	72	79	82
male	some college	free/reduced	none	75	81	74
male	some high school	standard	none	51	31	36
male	high school	free/reduced	none	45	47	49
female	bachelor's degree	standard	none	45	59	64
female	some high school	standard	completed	85	90	92
female	some college	free/reduced	none	61	60	57
male	bachelor's degree	standard	none	64	60	58
female	high school	standard	completed	75	82	79
female	high school	standard	none	61	68	63
female	master's degree	free/reduced	none	50	67	73
female	high school	free/reduced	completed	34	48	41
female	some college	standard	none	69	84	82
male	associate's degree	standard	none	67	57	53
male	some high school	free/reduced	completed	61	62	61
female	some college	standard	none	56	58	64
male	some high school	standard	completed	66	68	64
female	high school	free/reduced	completed	53	50	60
female	some college	standard	none	54	63	67
female	some college	standard	completed	78	87	91
male	high school	standard	none	57	51	54
female	some high school	free/reduced	none	44	45	45
male	high school	standard	none	63	63	62
