gender	parental level of education	lunch	test preparation course	math score	reading score	writing score
female	some college	standard	completed	69	90	88
male	some college	standard	none	76	78	75
male	associate's degree	standard	none	58	54	52
female	some high school	standard	none	69	75	78
male	high school	standard	none	88	89	86
male	master's degree	free/reduced	completed	46	42	46
female	associate's degree	free/reduced	none	54	58	61
female	some high school	standard	none	69	73	73
female	bachelor's degree	standard	none	67	69	75
male	high school	standard	none	70	70	65
male	associate's degree	free/reduced	none	55	61	54
female	associate's degree	standard	none	58	73	68
female	high school	standard	none	66	71	76
male	high school	standard	completed	82	84	82
male	some college	standard	none	53	44	42
female	some high school	free/reduced	completed	71	84	87
female	high school	free/reduced	none	33	41	43
female	some high school	free/reduced	none	0	17	10
female	associate's degree	standard	none	69	80	71
female	some college	standard	none	60	72	74
female	associate's degree	standard	none	39	64	57
male	some high school	free/reduced	none	61	57	56
male	some high school	standard	none	49	49	41
female	some college	standard	none	73	80	82
female	some college	free/reduced	none	76	83	88
female	bachelor's degree	standard	none	65	72	74
male	high school	free/reduced	none	27	34	36
male	high school	standard	none	71	79	71
male	associate's degree	free/reduced	completed	43	45	50
male	associate's degree	free/reduced	completed	78	81	82
male	some college	standard	completed	98	86	90
female	some college	standard	none	58	67	72
male	high school	standard	none	62	55	49
male	high school	standard	none	84	77	74
female	some college	standard	none	55	69	65
female	bachelor's degree	standard	completed	79	92	89
female	some college	standard	completed	88	93	93
male	some high school	free/reduced	completed	53	37	40
female	some college	standard	completed	75	81	84
male	bachelor's degree	standard	none	58	55	48
female	associate's degree	standard	none	59	66	67
female	some college	free/reduced	none	59	62	64
female	some college	free/reduced	none	22	39	33
male	associate's degree	free/reduced	none	73	68	66
female	some college	standard	completed	70	89	88
male	high school	standard	none	52	53	49
female	bachelor's degree	standard	completed	96	100	100
male	high school	free/reduced	completed	53	51	51
female	some college	free/reduced	completed	67	75	70
female	associate's degree	standard	none	63	67	70
female	bachelor's degree	free/reduced	completed	43	51	54
female	master's degree	standard	completed	81	91	87
female	associate's degree	standard	completed	71	77	77
male	master's degree	free/reduced	completed	62	68	75
female	some college	free/reduced	none	46	64	66
male	some high school	free/reduced	completed	45	52	49
male	associate's degree	free/reduced	completed	65	67	65
female	bachelor's degree	standard	none	77	88	87
female	master's degree	standard	completed	69	84	85
male	some high school	free/reduced	completed	59	69	65
female	associate's degree	standard	completed	67	84	86
male	associate's degree	standard	none	69	77	69
male	some college	standard	none	59	41	42
male	some college	free/reduced	none	35	28	27
female	high school	free/reduced	none	42	62	60
male	associate's degree	free/reduced	completed	60	51	56
female	high school	free/reduced	none	34	42	39
female	some high school	free/reduced	none	55	65	62
female	some college	standard	none	72	72	71
female	some college	standard	completed	88	95	94
male	associate's degree	standard	none	46	43	42
male	bachelor's degree	standard	completed	83	82	84
male	associate's degree	standard	none	84	80	80
male	associate's degree	standard	none	85	76	71
male	high school	standard	none	68	60	53
female	associate's degree	free/reduced	none	64	73	68
male	associate's degree	standard	completed	78	77	77
female	master's degree	free/reduced	completed	65	81	81
female	some high school	free/reduced	completed	64	79	77
male	some college	standard	completed	79	79	78
female	some high school	free/reduced	none	44	50	51
female	bachelor's degree	standard	none	63	75	81
male	bachelor's degree	standard	none	69	63	61
male	some college	standard	none	58	49	42
male	bachelor's degree	standard	none	83	78	73
female	some high school	standard	completed	85	92	93
female	some high school	free/reduced	none	65	86	80
male	associate's degree	standard	none	76	70	68
male	some high school	standard	completed	63	60	57
male	high school	free/reduced	completed	40	46	50
female	associate's degree	standard	completed	67	84	81
female	associate's degree	standard	completed	74	75	83
male	some high school	standard	none	51	52	44
female	associate's degree	free/reduced	completed	68	67	69
female	bachelor's degree	standard	completed	59	64	75
male	high school	standard	none	71	66	65
male	associate's degree	standard	none	83	72	78
female	high school	free/reduced	completed	67	79	84
female	some college	standard	none	71	81	80
female	some high school	free/reduced	none	43	53	53
female	high school	free/reduced	none	41	46	43
female	some college	standard	none	82	90	94
male	some college	standard	none	61	61	62
male	associate's degree	standard	completed	82	75	77
male	high school	standard	none	71	60	61
male	associate's degree	standard	none	47	37	35
female	bachelor's degree	standard	none	83	93	95
male	associate's degree	standard	none	49	51	43
male	high school	free/reduced	none	58	61	52
female	high school	standard	none	61	73	63
female	high school	standard	none	72	80	75
female	bachelor's degree	standard	completed	77	94	95
female	some college	standard	completed	63	78	80
female	associate's degree	standard	none	46	58	57
female	some college	standard	none	59	71	70
female	some college	free/reduced	completed	42	66	69
female	some college	standard	none	52	58	58
male	some college	standard	none	59	60	58
male	high school	standard	completed	69	58	53
male	bachelor's degree	free/reduced	none	61	66	61
female	some college	free/reduced	completed	45	73	70
male	associate's degree	standard	completed	87	100	95
male	master's degree	free/reduced	none	79	81	71
female	associate's degree	free/reduced	none	57	78	67
male	associate's degree	standard	completed	57	54	56
female	some high school	standard	completed	65	74	77
female	associate's degree	standard	none	85	89	95
female	some high school	standard	completed	59	54	67
female	high school	standard	none	54	59	62
female	some high school	standard	none	63	73	68
female	bachelor's degree	free/reduced	completed	51	72	79
male	bachelor's degree	standard	completed	71	74	68
male	associate's degree	standard	none	74	73	67
female	associate's degree	free/reduced	completed	82	93	93
female	some college	free/reduced	none	62	67	62
male	bachelor's degree	standard	none	86	83	86
male	some high school	free/reduced	none	69	71	65
male	some high school	free/reduced	none	68	63	54
male	associate's degree	free/reduced	none	64	66	59
female	high school	standard	none	61	72	70
male	high school	standard	none	61	56	55
male	some high school	standard	none	73	66	66
male	some college	free/reduced	completed	50	48	53
