gender	parental level of education	lunch	test preparation course	math score	reading score	writing score
male	high school	free/reduced	completed	64	64	67
male	associate's degree	standard	none	40	52	43
male	high school	standard	none	66	69	63
male	some college	standard	none	44	54	53
male	bachelor's degree	free/reduced	completed	74	71	80
female	master's degree	standard	none	62	70	75
female	some college	standard	none	69	74	74
male	some college	standard	none	40	42	38
female	associate's degree	standard	none	74	81	83
female	some high school	free/reduced	none	50	64	59
female	associate's degree	free/reduced	completed	75	90	88
female	associate's degree	free/reduced	completed	57	74	76
male	high school	standard	none	88	78	75
male	associate's degree	standard	none	52	55	49
male	some college	standard	completed	58	59	58
female	some high school	standard	none	59	58	59
male	some high school	free/reduced	none	45	37	37
female	some college	free/reduced	completed	58	63	73
male	some college	standard	completed	63	55	63
female	some high school	standard	completed	61	74	72
male	high school	free/reduced	none	42	39	34
female	associate's degree	standard	none	71	71	74
female	some high school	standard	none	73	86	82
female	some college	free/reduced	none	58	67	62
female	bachelor's degree	standard	none	65	67	62
male	bachelor's degree	standard	completed	68	74	74
female	associate's degree	standard	none	85	91	89
female	master's degree	standard	none	87	100	100
female	associate's degree	free/reduced	completed	77	89	98
female	some college	standard	none	51	58	54
female	bachelor's degree	standard	none	78	82	79
female	some high school	standard	none	51	63	61
male	high school	free/reduced	none	63	57	56
male	some college	standard	completed	65	77	74
male	master's degree	standard	none	82	82	74
male	master's degree	standard	none	89	84	82
male	bachelor's degree	free/reduced	completed	74	79	75
male	some college	standard	completed	71	61	69
female	some high school	standard	none	76	72	71
male	some college	standard	none	88	73	78
female	bachelor's degree	standard	completed	68	75	81
male	bachelor's degree	standard	none	54	49	47
male	some high school	standard	none	62	67	61
male	associate's degree	free/reduced	none	66	62	64
female	some college	standard	none	79	86	81
female	some high school	standard	completed	97	100	100
female	associate's degree	standard	none	65	69	70
male	some high school	standard	completed	62	66	68
male	some college	standard	completed	76	83	79
male	some college	standard	completed	77	62	62
male	associate's degree	standard	none	61	55	52
female	some college	free/reduced	none	65	81	77
male	some high school	standard	completed	74	71	78
male	some high school	free/reduced	completed	80	79	79
female	high school	standard	completed	56	68	74
male	some high school	standard	none	86	80	75
male	high school	standard	none	57	50	54
male	some college	standard	none	76	64	66
male	associate's degree	standard	none	80	75	77
male	bachelor's degree	free/reduced	none	63	66	67
female	some high school	standard	completed	64	60	74
male	high school	free/reduced	completed	73	68	66
female	high school	standard	none	56	52	55
male	some high school	standard	none	75	74	69
female	some college	free/reduced	none	71	83	83
male	master's degree	standard	none	80	80	72
male	high school	standard	none	54	52	52
male	high school	standard	none	76	73	68
male	some high school	free/reduced	none	59	42	41
female	high school	standard	none	69	72	77
female	associate's degree	standard	completed	88	92	95
female	associate's degree	free/reduced	none	47	53	58
female	some college	standard	none	65	70	71
male	high school	standard	none	53	52	42
male	high school	standard	none	45	48	46
female	bachelor's degree	free/reduced	none	73	79	84
female	some college	free/reduced	completed	70	78	78
male	some high school	standard	none	86	73	70
male	high school	free/reduced	completed	78	77	80
male	associate's degree	free/reduced	none	90	87	75
male	some high school	free/reduced	none	56	54	52
female	high school	free/reduced	none	49	57	52
male	bachelor's degree	standard	completed	67	61	68
female	master's degree	standard	completed	77	82	91
female	associate's degree	free/reduced	none	56	65	63
