gender	parental level of education	lunch	test preparation course	math score	reading score	writing score
female	master's degree	free/reduced	none	56	72	65
male	some college	standard	none	97	87	82
male	associate's degree	standard	completed	81	81	79
female	associate's degree	free/reduced	none	50	56	54
male	some college	standard	none	53	55	48
male	associate's degree	free/reduced	completed	77	69	68
female	associate's degree	standard	completed	82	85	86
male	bachelor's degree	free/reduced	completed	79	74	72
male	some high school	standard	none	30	26	22
female	master's degree	standard	none	62	68	68
male	associate's degree	standard	none	72	64	63
female	some college	standard	completed	63	72	70
male	associate's degree	standard	completed	66	63	64
female	bachelor's degree	standard	completed	99	100	100
male	some college	standard	none	83	80	73
male	some college	free/reduced	completed	87	74	70
male	high school	standard	none	70	55	56
female	some college	free/reduced	completed	42	55	54
male	associate's degree	free/reduced	completed	100	100	93
female	high school	free/reduced	completed	66	74	78
female	some college	free/reduced	completed	75	88	85
female	master's degree	standard	none	81	92	91
male	some high school	standard	none	94	88	78
female	high school	standard	none	50	50	47
male	high school	standard	none	80	76	65
female	associate's degree	standard	none	66	65	69
male	high school	free/reduced	none	55	56	51
male	bachelor's degree	standard	none	82	62	62
male	high school	standard	completed	81	80	76
male	high school	standard	completed	87	91	81
female	associate's degree	free/reduced	completed	83	86	88
female	master's degree	free/reduced	none	45	56	54
male	some high school	standard	none	92	87	78
female	bachelor's degree	standard	none	80	83	83
male	some college	standard	none	59	51	43
male	associate's degree	standard	none	89	76	74
female	some college	standard	none	62	73	70
female	high school	standard	none	99	93	90
female	some college	free/reduced	none	71	76	70
female	high school	standard	completed	59	63	75
male	associate's degree	standard	completed	97	82	88
male	some high school	standard	completed	77	76	77
female	bachelor's degree	standard	none	65	73	75
male	associate's degree	standard	completed	71	74	68
male	some college	standard	completed	99	87	81
female	high school	standard	none	75	86	79
male	associate's degree	standard	completed	62	56	53
male	associate's degree	standard	none	87	74	76
male	some college	standard	none	66	57	52
male	some college	standard	none	84	77	71
male	associate's degree	free/reduced	none	46	43	41
female	some high school	free/reduced	none	38	49	45
female	some college	standard	none	67	76	75
female	bachelor's degree	standard	none	64	73	70
male	some high school	free/reduced	completed	73	67	59
male	some college	standard	none	76	67	67
male	some college	standard	completed	84	83	78
male	high school	standard	none	84	73	69
male	high school	free/reduced	completed	57	56	54
female	some college	standard	none	100	92	97
female	bachelor's degree	standard	none	100	100	100
female	some college	standard	none	71	70	76
male	bachelor's degree	standard	completed	76	62	66
male	associate's degree	standard	none	76	71	67
male	some college	standard	none	76	71	72
female	associate's degree	standard	completed	95	89	92
female	some college	standard	completed	66	74	73
male	some college	standard	none	68	60	59
male	associate's degree	standard	completed	62	61	58
female	associate's degree	standard	completed	79	88	94
male	bachelor's degree	standard	completed	85	66	71
male	some high school	free/reduced	completed	78	83	80
male	associate's degree	standard	none	53	45	40
female	bachelor's degree	free/reduced	completed	92	100	100
female	high school	standard	none	74	81	71
female	some high school	standard	none	77	79	80
male	bachelor's degree	standard	none	68	68	64
female	high school	standard	none	74	76	73
female	some college	standard	none	76	78	80
female	some college	standard	none	61	64	62
female	bachelor's degree	standard	none	37	45	38
female	bachelor's degree	free/reduced	none	61	58	62
male	some college	standard	none	86	76	74
female	high school	standard	completed	74	79	80
female	high school	free/reduced	none	64	62	68
female	some college	standard	completed	73	78	76
female	master's degree	standard	completed	94	99	100
male	some college	standard	completed	85	75	68
male	some college	free/reduced	none	93	90	83
female	associate's degree	free/reduced	none	73	76	78
female	bachelor's degree	standard	completed	79	81	82
female	some high school	standard	completed	80	85	85
male	associate's degree	free/reduced	completed	91	73	80
male	some college	standard	completed	81	74	71
female	associate's degree	standard	completed	65	75	77
male	some high school	standard	completed	68	51	57
female	some college	free/reduced	none	53	58	57
male	some college	standard	none	68	72	65
female	associate's degree	standard	none	84	95	92
male	bachelor's degree	free/reduced	completed	70	68	72
male	associate's degree	standard	completed	94	85	82
female	some high school	free/reduced	none	72	79	77
male	some high school	standard	completed	89	84	77
female	associate's degree	free/reduced	completed	57	68	73
female	associate's degree	free/reduced	none	70	84	81
male	some college	standard	none	69	60	54
female	associate's degree	standard	none	87	94	95
female	high school	free/reduced	none	41	45	40
male	some high school	standard	completed	87	84	76
male	some college	free/reduced	completed	49	52	51
male	high school	standard	none	73	64	57
male	master's degree	standard	none	90	85	84
female	some college	standard	none	87	85	93
male	some high school	standard	none	82	67	61
female	master's degree	free/reduced	none	81	86	87
male	associate's degree	free/reduced	completed	78	74	72
male	associate's degree	free/reduced	none	90	90	82
female	bachelor's degree	standard	completed	71	70	70
female	associate's degree	standard	none	51	51	54
female	associate's degree	standard	completed	93	100	95
female	some college	standard	completed	86	85	91
female	associate's degree	standard	none	85	92	85
female	associate's degree	standard	none	59	62	69
female	some high school	free/reduced	none	32	34	38
male	bachelor's degree	standard	completed	70	64	70
female	some college	standard	none	68	70	66
male	bachelor's degree	standard	completed	100	100	100
male	some high school	standard	completed	74	64	60
male	associate's degree	free/reduced	none	64	56	52
male	associate's degree	free/reduced	completed	46	43	44
female	high school	free/reduced	none	57	58	57
female	high school	free/reduced	completed	57	75	73
male	high school	standard	none	94	73	71
female	some high school	free/reduced	none	74	74	72
male	associate's degree	standard	none	72	57	62
female	associate's degree	standard	none	100	100	100
female	associate's degree	standard	none	68	76	67
male	some high school	standard	completed	81	75	76
male	high school	free/reduced	completed	86	81	75
female	master's degree	standard	completed	88	99	95
