Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave
2015-01-01,Red Sea,20.0248,38.4931,29.47,8.107,None,106,False
2015-01-07,Great Barrier Reef,-18.2988,147.7782,29.65,8.004,High,116,False
2015-01-14,Caribbean Sea,14.9768,-75.0233,28.86,7.947,High,90,False
2015-01-20,Great Barrier Reef,-18.3152,147.6486,28.97,7.995,Medium,94,False
2015-01-27,Galápagos,-0.8805,-90.9769,28.6,7.977,None,110,False
2015-02-02,Red Sea,20.0055,38.4425,29.06,8.009,Low,109,False
2015-02-09,South China Sea,9.9699,115.0926,28.48,7.998,None,132,False
2015-02-16,Red Sea,19.939,38.5104,25.56,8.042,Low,152,False
2015-02-22,Maldives,3.2397,73.2293,28.33,8.038,Low,99,False
2015-03-01,Caribbean Sea,14.964,-75.023,30.09,8.035,High,77,True
2015-03-07,Galápagos,-0.9376,-90.9849,27.48,8.101,None,145,False
2015-03-14,Caribbean Sea,15.0466,-75.042,28.04,8.076,High,139,False
2015-03-21,Galápagos,-0.9778,-90.9749,26.84,8.023,None,148,False
2015-03-27,South China Sea,10.0678,114.9964,30.01,8.038,High,95,True
2015-04-03,Red Sea,20.0181,38.5769,28.45,8.129,High,81,False
2015-04-09,South China Sea,10.0411,115.0044,28.05,8.064,Medium,94,False
2015-04-16,Caribbean Sea,14.989,-74.9821,30.72,7.98,High,85,True
2015-04-22,Caribbean Sea,14.9749,-74.9542,28.99,8.014,None,122,False
2015-04-29,Caribbean Sea,15.0049,-74.9516,27.45,8.055,Low,124,False
2015-05-06,Maldives,3.1296,73.2355,28.89,8.042,Low,112,False
2015-05-12,Great Barrier Reef,-18.3579,147.6782,27.99,8.02,None,122,False
2015-05-19,Hawaiian Islands,19.917,-155.4885,28.76,8.058,Low,116,False
2015-05-25,Great Barrier Reef,-18.383,147.6979,28.59,8.171,Medium,116,False
2015-06-01,Great Barrier Reef,-18.272,147.6975,26.75,8.142,Medium,148,False
2015-06-08,Red Sea,20.0396,38.4545,30.6,7.938,None,107,True
2015-06-14,Red Sea,20.1095,38.4505,27.65,8.072,None,120,False
2015-06-21,Hawaiian Islands,19.8193,-155.5794,26.91,8.106,Low,122,False
